iter	Passed	Remaining
552	3664	2961
553	3670	2954
554	3676	2947
555	3683	2941
556	3688	2933
557	3695	2927
558	3701	2919
559	3708	2913
560	3714	2906
561	3720	2899
562	3726	2892
563	3732	2885
564	3738	2877
565	3744	2870
566	3750	2863
567	3755	2856
568	3760	2848
569	3767	2841
570	3772	2833
571	3777	2826
572	3783	2819
573	3789	2812
574	3796	2806
575	3803	2799
576	3808	2791
577	3812	2783
578	3817	2775
579	3823	2769
580	3829	2761
581	3835	2754
582	3840	2747
583	3846	2739
584	3852	2733
585	3859	2726
586	3866	2720
587	3872	2713
588	3878	2706
589	3885	2699
590	3892	2693
591	3898	2686
592	3905	2680
593	3911	2673
594	3916	2665
595	3923	2659
596	3929	2652
597	3935	2645
598	3941	2638
599	3947	2631
600	3954	2625
601	3960	2618
602	3967	2612
603	3972	2604
604	3978	2597
605	3984	2590
606	3990	2583
607	3996	2576
608	4002	2569
609	4009	2563
610	4015	2556
611	4022	2550
612	4028	2543
613	4035	2536
614	4041	2529
615	4046	2522
616	4053	2516
617	4061	2510
618	4068	2503
619	4073	2496
620	4079	2489
621	4087	2483
622	4094	2477
623	4100	2470
624	4105	2463
625	4111	2456
626	4118	2449
627	4124	2442
628	4129	2435
629	4134	2428
630	4140	2421
631	4146	2414
632	4153	2408
633	4158	2400
634	4164	2393
635	4172	2388
636	4181	2382
637	4188	2376
638	4194	2369
639	4202	2363
640	4208	2357
641	4214	2349
642	4220	2343
643	4227	2336
644	4234	2330
645	4240	2323
646	4246	2317
647	4253	2310
648	4260	2304
649	4266	2297
650	4272	2290
651	4278	2283
652	4283	2276
653	4289	2269
654	4296	2262
655	4301	2255
656	4308	2249
657	4315	2242
658	4322	2236
659	4327	2229
660	4334	2222
661	4339	2215
662	4346	2209
663	4351	2201
664	4357	2195
665	4362	2188
666	4369	2181
667	4375	2174
668	4380	2167
669	4387	2160
670	4394	2154
671	4400	2148
672	4407	2141
673	4415	2135
674	4423	2129
675	4428	2122
676	4434	2115
677	4442	2109
678	4447	2102
679	4454	2096
680	4460	2089
681	4465	2082
682	4471	2075
683	4476	2068
684	4482	2061
685	4487	2054
686	4494	2047
687	4502	2041
688	4509	2035
689	4515	2028
690	4521	2021
691	4527	2015
692	4533	2008
693	4539	2001
694	4545	1994
695	4553	1988
696	4559	1982
697	4565	1975
698	4571	1968
699	4578	1962
700	4584	1955
701	4590	1948
702	4597	1942
703	4603	1935
704	4607	1928
705	4614	1921
706	4621	1915
707	4626	1907
708	4632	1901
709	4639	1894
710	4644	1887
711	4650	1881
712	4657	1874
713	4664	1868
714	4669	1861
715	4676	1854
716	4682	1848
717	4689	1841
718	4695	1835
719	4701	1828
720	4708	1821
721	4714	1815
722	4721	1808
723	4727	1802
724	4733	1795
725	4738	1788
726	4744	1781
727	4750	1775
728	4757	1768
729	4762	1761
730	4769	1755
731	4775	1748
732	4781	1741
733	4786	1734
734	4792	1727
735	4797	1721
736	4804	1714
737	4810	1707
738	4817	1701
739	4822	1694
740	4829	1687
741	4835	1681
742	4842	1674
743	4847	1667
744	4852	1660
745	4859	1654
746	4865	1647
747	4871	1641
748	4879	1635
749	4885	1628
750	4891	1621
751	4895	1614
752	4901	1607
753	4907	1601
754	4913	1594
755	4920	1588
756	4926	1581
757	4932	1574
758	4938	1567
759	4943	1560
760	4949	1554
761	4955	1547
762	4960	1540
763	4967	1534
764	4973	1527
765	4978	1520
766	4984	1514
767	4991	1507
768	4997	1501
769	5003	1494
770	5009	1487
771	5015	1481
772	5021	1474
773	5028	1468
774	5034	1461
775	5040	1455
776	5047	1448
777	5052	1441
778	5058	1435
779	5065	1428
780	5073	1422
781	5079	1416
782	5085	1409
783	5092	1402
784	5099	1396
785	5104	1389
786	5110	1383
787	5117	1376
